activation,hidden,lr,epoch,train_loss,val_loss,epoch_flops,total_flops,gflops,epoch_time
gelu,64,0.01,63,0.2981489739526127,0.3156530603234755,856865150,53982504450,53.98250445,0.23780360003001988
gelu,64,0.01,64,0.2979045853697737,0.31566298624849787,856865150,54839369600,54.8393696,0.26386639988049865
gelu,64,0.01,65,0.2976526599786539,0.31569391373008965,856865150,55696234750,55.69623475,0.2071181999053806
gelu,64,0.01,66,0.29741014838595126,0.31575139445191475,856865150,56553099900,56.5530999,0.19002500013448298
gelu,64,0.01,67,0.29719103547981573,0.3158103038366072,856865150,57409965050,57.40996505,0.18820480001159012
gelu,64,0.01,68,0.29697797035694196,0.3158412079381887,856865150,58266830200,58.2668302,0.5706529000308365
gelu,64,0.01,69,0.29674661196260094,0.3158487833193493,856865150,59123695350,59.12369535,0.1908207000233233
gelu,64,0.01,70,0.29650315014039613,0.31585906441110767,856865150,59980560500,59.9805605,0.19254139997065067
gelu,64,0.01,71,0.2962726806480189,0.3158785893689274,856865150,60837425650,60.83742565,0.2509981000330299
gelu,64,0.01,72,0.29606031663269666,0.31589228498402805,856865150,61694290800,61.6942908,0.1947538999374956
gelu,64,0.01,73,0.29585003483431,0.3158956315137722,856865150,62551155950,62.55115595,0.19692709995433688
gelu,64,0.01,74,0.29563639171494,0.3159009211275884,856865150,63408021100,63.4080211,0.21345259994268417
gelu,64,0.01,75,0.2954299632876177,0.31591095976687733,856865150,64264886250,64.26488625,0.19145020004361868
gelu,64,0.01,76,0.2952310309006414,0.315913278299193,856865150,65121751400,65.1217514,0.19109800015576184
gelu,64,0.01,77,0.2950248822367976,0.31590557541190467,856865150,65978616550,65.97861655,0.19195080013014376
gelu,64,0.01,78,0.2948082711639559,0.3159016259159696,856865150,66835481700,66.8354817,0.9580339000094682
gelu,64,0.01,79,0.2945948782785346,0.31590787723384184,856865150,67692346850,67.69234685,0.22170340013690293
gelu,64,0.01,80,0.29439046006306147,0.3159182227866623,856865150,68549212000,68.549212,0.22368649998679757
gelu,64,0.01,81,0.29418661277534697,0.31593356490309293,856865150,69406077150,69.40607715,2.358728999970481
gelu,64,0.01,82,0.29398058364196633,0.3159637384499563,856865150,70262942300,70.2629423,0.5805691001005471
gelu,64,0.01,83,0.2937783721423053,0.31600948538986656,856865150,71119807450,71.11980745,0.24022349994629622
gelu,64,0.01,84,0.29357805387573116,0.3160629728024956,856865150,71976672600,71.9766726,1.1887416001409292
gelu,64,0.01,85,0.2933714613851937,0.31612405567154633,856865150,72833537750,72.83353775,0.2454049999359995
gelu,64,0.01,86,0.29316084756442706,0.3161966266640685,856865150,73690402900,73.6904029,0.20489739999175072
gelu,64,0.01,87,0.29295449786363975,0.3162749929357143,856865150,74547268050,74.54726805,0.2998970001935959
gelu,64,0.01,88,0.292751671597546,0.3163509425200687,856865150,75404133200,75.4041332,0.18990279990248382
gelu,64,0.01,89,0.2925480907881377,0.3164250521071452,856865150,76260998350,76.26099835,0.1934084000531584
gelu,64,0.01,90,0.2923461381226739,0.31649909555375405,856865150,77117863500,77.1178635,0.18813949986360967
gelu,64,0.01,91,0.29214709361137997,0.3165702641654754,856865150,77974728650,77.97472865,0.19488559989258647
gelu,64,0.01,92,0.2919461902060623,0.31664032674306614,856865150,78831593800,78.8315938,0.2512233001179993
gelu,64,0.01,93,0.2917430676495905,0.3167155329344047,856865150,79688458950,79.68845895,0.21599349984899163
gelu,64,0.01,94,0.29154249510412955,0.316796348353559,856865150,80545324100,80.5453241,0.18910159985534847
gelu,64,0.01,95,0.2913443027387357,0.3168804848549219,856865150,81402189250,81.40218925,0.20030970009975135
gelu,64,0.01,96,0.2911464247196807,0.3169690231746748,856865150,82259054400,82.2590544,0.19253749982453883
gelu,64,0.01,97,0.2909509746442915,0.3170604591653009,856865150,83115919550,83.11591955,0.192572700092569
